id,pergunta,esperado,predicao,correto
1800,"What is the output of this logic circuit, given the inputs x0=True, x1=True, x2=True, x3=True, x4=False, x5=True, x6=True, x7=True?",False,False,True
1801,How many and gates are in this logic circuit?,3,3,True
1802,"What is the output of this logic circuit, given the inputs x0=False, x1=True, x2=False, x3=True, x4=False, x5=True, x6=False, x7=True?",False,False,True
1803,How many not gates are in this logic circuit?,3,3,True
1804,How many and gates are in this logic circuit?,1,1,True
1805,"What is the output of this logic circuit, given the inputs x0=False, x1=True, x2=False, x3=True, x4=True, x5=True, x6=True, x7=False, x8=True?",False,True,False
1806,How many or gates are in this logic circuit?,2,2,True
1807,How many xor gates are in this logic circuit?,1,1,True
1808,How many xnor gates are in this logic circuit?,0,0,True
1809,"What is the output of this logic circuit, given the inputs x0=False, x1=False, x2=True, x3=True, x4=True, x5=True, x6=True, x7=False, x8=False, x9=True?",True,True,True
1810,How many xor gates are in this logic circuit?,3,3,True
1811,How many nand gates are in this logic circuit?,0,0,True
1812,How many or gates are in this logic circuit?,4,4,True
1813,How many nand gates are in this logic circuit?,0,0,True
1814,How many nand gates are in this logic circuit?,0,0,True
1815,How many xor gates are in this logic circuit?,1,1,True
1816,"What is the output of this logic circuit, given the inputs x0=True, x1=True, x2=False, x3=False, x4=True, x5=False, x6=False, x7=False, x8=True, x9=False?",False,False,True
1817,"What is the output of this logic circuit, given the inputs x0=True, x1=True, x2=False, x3=True, x4=True, x5=True, x6=True, x7=True, x8=False, x9=True?",False,False,True
1818,How many nand gates are in this logic circuit?,0,0,True
1819,"What is the output of this logic circuit, given the inputs x0=False, x1=False, x2=False, x3=False, x4=False, x5=True, x6=True, x7=False?",True,True,True
1820,"What is the output of this logic circuit, given the inputs x0=True, x1=False, x2=False, x3=True, x4=False, x5=True, x6=False?",False,False,True
1821,How many nor gates are in this logic circuit?,0,0,True
1822,How many or gates are in this logic circuit?,3,2,False
1823,How many xor gates are in this logic circuit?,2,2,True
1824,How many xnor gates are in this logic circuit?,0,0,True
1825,How many xnor gates are in this logic circuit?,0,0,True
1826,"What is the output of this logic circuit, given the inputs x0=True, x1=False, x2=True, x3=False, x4=True, x5=False, x6=False, x7=True, x8=True, x9=False?",True,False,False
1827,How many nor gates are in this logic circuit?,0,0,True
1828,"What is the output of this logic circuit, given the inputs x0=False, x1=False, x2=False, x3=True, x4=False, x5=False, x6=True, x7=True, x8=True?",True,True,True
1829,How many xor gates are in this logic circuit?,2,2,True
1830,How many or gates are in this logic circuit?,1,1,True
1831,"What is the output of this logic circuit, given the inputs x0=True, x1=False, x2=False, x3=False, x4=False, x5=True, x6=True, x7=True, x8=False, x9=False?",False,True,False
1832,"What is the output of this logic circuit, given the inputs x0=False, x1=False, x2=False, x3=False, x4=False, x5=False, x6=True, x7=False, x8=False, x9=True?",True,True,True
